polarity,final_messages
1,U tryna meet tho? I’m down
0,We close
1,Haha send me your addy and we’ll meet tho
0,I’ll give u time doe
0,Bet how much time u need?
0,Bet
1,Meet outside alder in 10?
0,Bet I got u
0,See you soon
1,Gimme your number for ease?
0,Okay cool
1,Hey this is a bit forward but do u have a condom or should I bring one
0,You’ll be happily surprised
0,Hmm
1,Snap?
0,"Noah sent you a special message.
Update the app to view the message."
1,U tryna meet up?
0,L
1,Lmaoooo hi Hailey
0,Tell me your favorite song right now
0,Lmao Hailey how are you tho
0,Madronaaaa
1,U tryna link?
0,Haha hey Milena
1,U tryna link?
0,Haha hey Elizabeth
1,U tryna link?
1,U tryna link?
1,U tryna link?
1,U tryna link?
0,Haha how’s it going
0,Hey McKenna
0,Lmaoo hi annie b
0,It only took 4 months 😂😂
0,Pretty well! Quarantine is a bummer but what can u do lol
0,Hey how’s it going
0,"I’m doing pretty well, as well as u can in quarantine I suppose lol"
0,I just need that David Fragrance to complete the fit 😤
1,How can you be 70 miles away but still live in my head?
0,YES though it’s sad he’s not making vlogs rn :( how are you doing?
1,Sadly lost the stilts but can still give you a piggy back ride. Practically the same
0,I keep waiting to hit that magic number but it hasn’t come yet
0,Hey! It’s been pretty... boring for the most part haha. I’ve been working all week on my resume and job apps for post graduation :( wbu?
0,Anaaaaa what’s good
0,Do anything spontaneous recently?
0,Sorry I haven’t checked Tinder in a minute haha but if I go off of yesterday I’d probably say the end of yesterday. I got some work done I was pushing off. Finally felt productive lol
1,I’m curious what was your favorite part of yesterday?
1,Hmmm guess my favorite drunk food and I’ll guess yours haha
1,Aw thank you ❤️❤️ I love your wings
0,Heylo what’s your go to late night drive song
0,Need to see if ur on aux 👀
0,It’s more of a wish than a reality sadly :(
0,What’s tik tok?
0,Hey how’s it going haha what’s the coolest thing you’ve done in quarantine so far
0,That obvious huh? 😂
1,"you me.
2 four lokos
chuck e cheese
skeeeeeeeee ball
uh oh a couple of 8 year olds are mouthing off
should we fight em?
YOU BETCHA
a couple of roundhouse kicks later
we got all their tickets
grand prize?
ab
so
lutley
THEN
picnic, on the train tracks
ON
THE TRAIN TRACKS
two more four lokos
thats 4 four lokos
thats loco
locomotive
HERE COMES THE TRAIN
doesnt matter were done eating
chase that s**t
for
mIILEEESSSSSS
traisn too fast
cant catch it
thats ok
well sit by the highway and throw marbles at passing cars
whadya think?"
0,HAHA good ol Mount Si high school
0,High School was kind of a blur I feel like I didn’t talk to a whole lot of people 😂 that’s sweet tho
0,If I rememberrrr correctly I wanna say it was Health! Haha I could be wrong tho
0,Yeah! Sadly not for a whole lot longer and with Covid not on campus :( but love love love UW I wish I could stay for another 4 years
0,Ugh Covid really fucking up our last time at UW 😕 yep haha I’m set to graduate in March
0,What are you majoring in?
0,Nice!! A friend of mine is entre minor too she loves it
0,I’m marketing and information systems haha trying to balance a more social major with a more technical one. We’ll see what comes of it haha
1,"you me.
2 four lokos
chuck e cheese
skeeeeeeeee ball
uh oh a couple of 8 year olds are mouthing off
should we fight em?
YOU BETCHA
a couple of roundhouse kicks later
we got all their tickets
grand prize?
ab
so
lutley
THEN
picnic, on the train tracks
ON
THE TRAIN TRACKS
two more four lokos
thats 4 four lokos
thats loco
locomotive
HERE COMES THE TRAIN
doesnt matter were done eating
chase that s**t
for
mIILEEESSSSSS
traisn too fast
cant catch it
thats ok
well sit by the highway and throw marbles at passing cars
whadya think?"
0,"you me.
2 four lokos
chuck e cheese
skeeeeeeeee ball
uh oh a couple of 8 year olds are mouthing off
should we fight em?
YOU BETCHA
a couple of roundhouse kicks later
we got all their tickets
grand prize?
ab
so
lutley
THEN
picnic, on the train tracks
ON
THE TRAIN TRACKS
two more four lokos
thats 4 four lokos
thats loco
locomotive
HERE COMES THE TRAIN
doesnt matter were done eating
chase that s**t
for
mIILEEESSSSSS
traisn too fast
cant catch it
thats ok
well sit by the highway and throw marbles at passing cars
whadya think?"
1,Haha it is a perfect first date tho
1,I see that UW dorm bed lol which dorm did u stay in?
0,"you me.
2 four lokos
chuck e cheese
skeeeeeeeee ball
uh oh a couple of 8 year olds are mouthing off
should we fight em?
YOU BETCHA
a couple of roundhouse kicks later
we got all their tickets
grand prize?
ab
so
lutley
THEN
picnic, on the train tracks
ON
THE TRAIN TRACKS
two more four lokos
thats 4 four lokos
thats loco
locomotive
HERE COMES THE TRAIN
doesnt matter were done eating
chase that s**t
for
mIILEEESSSSSS
traisn too fast
cant catch it
thats ok
well sit by the highway and throw marbles at passing cars
whadya think?"
1,"Bet, 2 lokos each. Dealbreaker tho, which flavors are u choosing?"
0,🤢🤮 we agree there
0,Peach <<<
0,I’d probably do peach and grape
0,"I did it before with grape and fruit punch, fruit punch was not the move"
1,"you me.
2 four lokos
chuck e cheese
skeeeeeeeee ball
uh oh a couple of 8 year olds are mouthing off
should we fight em?
YOU BETCHA
a couple of roundhouse kicks later
we got all their tickets
grand prize?
ab
so
lutley
THEN
picnic, on the train tracks
ON
THE TRAIN TRACKS
two more four lokos
thats 4 four lokos
thats loco
locomotive
HERE COMES THE TRAIN
doesnt matter were done eating
chase that s**t
for
mIILEEESSSSSS
traisn too fast
cant catch it
thats ok
well sit by the highway and throw marbles at passing cars
whadya think?"
1,"you me.
2 four lokos
chuck e cheese
skeeeeeeeee ball
uh oh a couple of 8 year olds are mouthing off
should we fight em?
YOU BETCHA
a couple of roundhouse kicks later
we got all their tickets
grand prize?
ab
so
lutley
THEN
picnic, on the train tracks
ON
THE TRAIN TRACKS
two more four lokos
thats 4 four lokos
thats loco
locomotive
HERE COMES THE TRAIN
doesnt matter were done eating
chase that s**t
for
mIILEEESSSSSS
traisn too fast
cant catch it
thats ok
well sit by the highway and throw marbles at passing cars
whadya think?"
1,Are we about to kiss right now 😳
1,As long as we kissed from 6 ft away with our N95s on I see no problem
1,If you kiss at night tho Covid doesn’t know 🤫
1,"Covid has bad eyesight, so as long as you kiss at night you’re safe"
1,"Alright alright 3 things and you guess...

1. Favorite artists are Frank Ocean, SZA, and Rex Orange County
2. Marketing and Information Systems major at UW
3. Just got my ears pierced but it’s not in any of my tinder photos yet"
1,How about a pickup lime
1,Feeling strong 7 vibes today but 3 is my normal
1,Are you my laptop? Cause you’re really hot and I’m kinda nervous 👉🏼👈🏼
1,Daddy? Let’s go
1,There’s no other eay
0,Snapchat: tronvaughn
0,Better add me I guess
1,Let’s swap Spotify playlists and make assumptions about eachother
1,Are you my laptop? Cause you’re really hot and I’m kinda nervous 👉🏼👈🏼
1,Cuz it’s mad wet
0,Hey if it lets me send this
0,Snapchat: tronvaughn
0,Then it works
1,Are you my laptop? Cause you’re really hot and I’m kinda nervous 👉🏼👈🏼
1,Cuz it’s mad wet
1,Are you my laptop? Cause you’re really hot and I’m kinda nervous 👉🏼👈🏼
1,Are you my laptop? Cause you’re really hot and I’m kinda nervous 👉🏼👈🏼
1,Are you my laptop? Cause you’re really hot and I’m kinda nervous 👉🏼👈🏼
1,Lemme fuck ur life up
1,Are you my laptop? Cause you’re really hot and I’m kinda nervous 👉🏼👈🏼
1,Let’s make a movie
1,You can be the port to my land 😝😢
0,🙈🙈🙈🙈🙈
0,"HAHA I love this, very professional"
0,It’s 1 and 2 for me
1,"you me.
2 four lokos
chuck e cheese
skeeeeeeeee ball
uh oh a couple of 8 year olds are mouthing off
should we fight em?
YOU BETCHA
a couple of roundhouse kicks later
we got all their tickets
grand prize?
ab
so
lutley
THEN
picnic, on the train tracks
ON
THE TRAIN TRACKS
two more four lokos
thats 4 four lokos
thats loco
locomotive
HERE COMES THE TRAIN
doesnt matter were done eating
chase that s**t
for
mIILEEESSSSSS
traisn too fast
cant catch it
thats ok
well sit by the highway and throw marbles at passing cars
whadya think?"
0,That’s one thing we have in common
1,I have a feeling there are other things we have in common too
0,Favorite artist go
0,I see u I respect that
0,WAP baby
0,"My top 3 are Frank Ocean, SZA, and then Harry Styles"
0,A bit different
0,But a vibe for sure
0,UMI I’m about it
0,Rose what is the coolest thing about yourself
0,Lmaooo cold blooded
0,Idk I’m in the Udistrict and haven’t caught Covid so I’m built different
0,How would u best describe your personality
0,Snapchat: tronvaughn
0,Also here
0,Hey if u don’t have underlying heavy anxiety are you really living?
0,I feel that I’ve gained a good “go with the flow” attitude through college but always looking to improve
0,College ends too soon tho there’s so much to learn and do
0,What hw u need I’ve been just working for too long
0,Math ehhh any English or papers tho I’m about it
0,I got thru Calc
0,Any past that and I’m as useless as can be
0,That work life :;((
1,Perfect if it means more Rose then I’m always down
1,"you me.
2 four lokos
chuck e cheese
skeeeeeeeee ball
uh oh a couple of 8 year olds are mouthing off
should we fight em?
YOU BETCHA
a couple of roundhouse kicks later
we got all their tickets
grand prize?
ab
so
lutley
THEN
picnic, on the train tracks
ON
THE TRAIN TRACKS
two more four lokos
thats 4 four lokos
thats loco
locomotive
HERE COMES THE TRAIN
doesnt matter were done eating
chase that s**t
for
mIILEEESSSSSS
traisn too fast
cant catch it
thats ok
well sit by the highway and throw marbles at passing cars
whadya think?"
1,"you me.
2 four lokos
chuck e cheese
skeeeeeeeee ball
uh oh a couple of 8 year olds are mouthing off
should we fight em?
YOU BETCHA
a couple of roundhouse kicks later
we got all their tickets
grand prize?
ab
so
lutley
THEN
picnic, on the train tracks
ON
THE TRAIN TRACKS
two more four lokos
thats 4 four lokos
thats loco
locomotive
HERE COMES THE TRAIN
doesnt matter were done eating
chase that s**t
for
mIILEEESSSSSS
traisn too fast
cant catch it
thats ok
well sit by the highway and throw marbles at passing cars
whadya think?"
0,Not a pickup line but my dog looks JUST like yours haha
0,My go-to tinder line is “Let’s exchange Spotify playlists and make assumptions about each other”
0,I am up my lady shakireth thou up yourself?
1,Your kids are gonna be cute one day
1,You guessed the next line 😤 the Y is silent
1,Whatever you want your prize to be I can provide
1,Hmm I don’t think I can provide that Alexis you might have to go a bit more reasonable 😂
1,Your kids are gonna be cute one day
1,Your kids are gonna be cute one day
1,Your kids are gonna be cute one day
1,Take me to the bikini barista and call it a date
1,Wanna come over tonight?
0,Deal
0,Ofc I’m the physical embodiment of AKPsi
0,The only Spotify playlist I have is “it really do be like dat”
1,😫😫😫
1,Any music is welcome to the playlist LMAO
0,I played that and Stian was vibin with it and asked Siri what song it was and he felt so betrayed
1,Boy band connoisseur 🥴
0,Oh yup I almost saw them at the Neptune then realized I would be way out of place
0,That’s almost worth going to the show purely to say you did
0,Yet at the same time so sad
0,I’d start a mosh pit
0,The 10 year olds wouldn’t stand a chance
0,There are no laws at a Jacob Sagittarius concert so stomping on kids is perfectly fine
